shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
20554,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20555,198.0,37.0,0.186868686869,0.514678899083,0.203669724771,0.0045871559633,0.206422018349,0.0357798165138,0.0348623853211,0.0
20586,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20607,11.0,4.0,0.363636363636,0.222222222222,0.0,0.0,0.0,0.777777777778,0.0,0.0
20639,92.0,2.0,0.0217391304348,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0
20681,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20694,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20811,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20828,102.0,9.0,0.0882352941176,0.0294117647059,0.558823529412,0.147058823529,0.117647058824,0.117647058824,0.0,0.0294117647059
20881,222.0,143.0,0.644144144144,0.261698440208,0.149913344887,0.121317157712,0.357885615251,0.107452339688,0.00173310225303,0.0
21032,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21048,87.0,7.0,0.0804597701149,0.384615384615,0.0,0.307692307692,0.0,0.307692307692,0.0,0.0
21049,6.0,5.0,0.833333333333,0.444444444444,0.0,0.0,0.222222222222,0.333333333333,0.0,0.0
21156,4.0,2.0,0.5,0.0,0.666666666667,0.0,0.0,0.333333333333,0.0,0.0
21171,16.0,5.0,0.3125,0.791666666667,0.0833333333333,0.125,0.0,0.0,0.0,0.0
21182,200.0,91.0,0.455,0.382052421146,0.200799644602,0.111950244336,0.170590848512,0.108840515327,0.010661928032,0.0151043980453
21193,95.0,41.0,0.431578947368,0.199029126214,0.242718446602,0.184466019417,0.218446601942,0.155339805825,0.0,0.0
21194,3.0,2.0,0.666666666667,0.0,0.75,0.0,0.25,0.0,0.0,0.0
21208,30.0,3.0,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0
21210,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21216,3.0,3.0,1.0,0.45,0.55,0.0,0.0,0.0,0.0,0.0
21248,171.0,91.0,0.53216374269,0.15548098434,0.149888143177,0.167785234899,0.354586129754,0.167785234899,0.0,0.00447427293065
21295,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21407,47.0,3.0,0.063829787234,0.857142857143,0.0,0.0,0.142857142857,0.0,0.0,0.0
21436,2.0,2.0,1.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0
21452,172.0,68.0,0.395348837209,0.4,0.148108108108,0.0778378378378,0.0875675675676,0.166486486486,0.117837837838,0.00216216216216
21467,50.0,3.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21530,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21650,156.0,3.0,0.0192307692308,0.111111111111,0.277777777778,0.611111111111,0.0,0.0,0.0,0.0
21682,7.0,4.0,0.571428571429,0.25,0.0,0.125,0.25,0.375,0.0,0.0
21770,117.0,4.0,0.034188034188,0.2,0.2,0.0,0.4,0.2,0.0,0.0
21792,175.0,2.0,0.0114285714286,0.0,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,0.0
21976,168.0,28.0,0.166666666667,0.0493827160494,0.0864197530864,0.20987654321,0.401234567901,0.253086419753,0.0,0.0
22029,4.0,2.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0
22128,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22143,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22190,18.0,5.0,0.277777777778,0.0,0.25,0.375,0.0,0.375,0.0,0.0
22218,5.0,3.0,0.6,0.166666666667,0.0,0.0,0.0,0.833333333333,0.0,0.0
22233,106.0,15.0,0.141509433962,0.484029484029,0.002457002457,0.0515970515971,0.461916461916,0.0,0.0,0.0
22328,15.0,7.0,0.466666666667,0.214285714286,0.142857142857,0.0,0.0,0.642857142857,0.0,0.0
22353,15.0,2.0,0.133333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22382,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22387,3.0,2.0,0.666666666667,0.0,0.2,0.8,0.0,0.0,0.0,0.0
22640,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22694,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
